Type of Adjective,Adjective (masc form),Word order,Sentence,Note
no change,rojo,Adj+N,El perro muerde la roja pelota en el dormitorio,
no change,gris,Adj+N,Una estudiante abrió la gris mochila en su escritorio,
no change,azul,Adj+N,El campista ve el azul cielo por las nubes,
no change,azul,Adj+N,El custodio lleva el azul uniforme en el hospital,
no change,blanco,Adj+N,Un artista cubre el blanco papel con color,
no change,negro,Adj+N,Un escritor utiliza una negra pluma en la cafetería,
no change,negro,Adj+N,El interiorista cuelga el negro cuadro en la habitación,
no change,blanco,Adj+N,El corredor compra un blanco reloj en la tienda,
no change,verde,Adj+N,Un niño escoge la verde pintura para el cuarto,
no change,verde,Adj+N,El chef corta la verde hierba en la cocina,
no change,marrón,Adj+N,El científico hierve el marrón líquido en el laboratorio,
no change,amarillo,Adj+N,El maestro usa un amarillo lápiz con un borrador,
no change,amarillo,Adj+N,Una mamá cuelga una amarilla hamaca en el bosque,
no change,morado,Adj+N,Un jardinero recoge la morada flor del jardín,
no change,rubio,Adj+N,El peluquero cepilla el rubio pelo de la niña,
no change,morado,Adj+N,Una chica ama el morado vestido de la tienda,
no change,marrón,Adj+N,Un deportista monta una marrón bicicleta en la carrera,
change,viejo,Adj+N,La mecánica ve la vieja amiga en el bosque,
change,viejo,Adj+N,La hija captura su viejo pájaro en sus manos,
change,viejo,Adj+N,Un asistente visita la vieja librería en el centro,
change,viejo,Adj+N,Un adolecente conduce el viejo coche por las calles,
change,solo,Adj+N,El parque tiene una sola persona en la tarde,
change,solo,Adj+N,El dentista programa un solo chico para una cita,
change,solo,Adj+N,La madre adopta la sola gata del refugio,
change,solo,Adj+N,El libro describe un solo pintor de una ciudad,
change,mismo,Adj+N,Una cirujana marca la misma piel con un marcador,
change,mismo,Adj+N,Un hombre dibuja el mismo tatuaje en el brazo,
change,mismo,Adj+N,El peluquero corta el mismo pelo en la mañana,
change,mismo,Adj+N,Una abogada crea el mismo documento para el cliente,
change,pobre,Adj+N,La enfermera ayuda el pobre paciente con simpatía,
change,pobre,Adj+N,Una alarma notifica el pobre estudiante del tiempo,
change,pobre,Adj+N,Un asistente encuentra el pobre científico en el laboratorio,
change,pobre,Adj+N,El jefe quiere el pobre trabajador para los sábados,
change,alto,Adj+N,La película tiene una alta chica como protagonista,
change,alto,Adj+N,El joyero ayuda un alto hombre en la tienda,
change,alto,Adj+N,Una sastre mide la alta mujer para el vestido,
change,alto,Adj+N,El soldado saluda el alto coronel en la fortaleza,
pre-nominal,menos,Adj+N,El solicitante tiene menos oportunidades que el otro,
pre-nominal,bastante,Adj+N,La hormiga tiene bastante comida para el invierno,
pre-nominal,dos,Adj+N,Un nadador pasa dos horas en el lago,
pre-nominal,poco,Adj+N,La receta requiere poca experiencia en la cocina,
pre-nominal,seis,Adj+N,El veterinario tiene seis animales en casa,
pre-nominal,unos,Adj+N,Una mujer corta unas verduras para la cena,
pre-nominal,cinco,Adj+N,El turista visita cinco estados en el verano,
pre-nominal,unos,Adj+N,Una chica compra unos caramelos en la tienda,
pre-nominal,demasiado,Adj+N,La piscina es demasiada profunda para el niño,"Do not use, this is adverb+adjective, not noun+adjective"
pre-nominal,mucho,Adj+N,El crítico ve películas muchas cada semana,
pre-nominal,doce,Adj+N,Un excursionista camina doce millas en las montañas,
pre-nominal,algún,Adj+N,Un detective encuentra alguna conexión entre los cuentos,
pre-nominal,este,Adj+N,La cantante escoge esta canción para cada boda,
pre-nominal,ese,Adj+N,Un ingeniero conduce ese coche sin gas,
pre-nominal,viente,Adj+N,El pueblo tiene veinte residentes en total,
pre-nominal,este,Adj+N,El niño lee este cuento para la escuela,
pre-nominal,cuatro,Adj+N,La niña hace cuatro cosas de sus quehaceres,
pre-nominal,aquel,Adj+N,El científico completa aquel experimento en el laboratorio,
pre-nominal,ese,Adj+N,Un historiador estudia esa guerra para su tesis,
pre-nominal,tres,Adj+N,Un chico come tres manzanas durante el almuerzo,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
